,Brand,Model,Price,Location,Engine,Model Year,Fuel Type,Road Trip
105,Honda,Honda CB 1000R ,"4,77,000",mumbai, 100,2010,petrol,"6,800"
106,Ducati,Ducati Diavel 1200cc ,"8,48,000",mumbai, 1200cc,2015,petrol,"33,300"
107,Triumph,Triumph Street Triple 765 ,"8,74,500",mumbai, 765,2018,petrol,"28,650"
108,Kawasaki,Kawasaki Ninja 1000 ,"8,74,500",mumbai, 100,2019,petrol,"22,500"
109,Harley-Davidson,Harley-Davidson Fat Boy ,"8,26,800",mumbai,,2015,petrol,"15,900"
110,Triumph,Triumph Tiger Explorer ,"9,27,500",mumbai,,2015,petrol,"8,300"
111,Kawasaki,Kawasaki Z1000 ,"8,48,000",mumbai,,2014,petrol,"13,150"
112,Kawasaki,Kawasaki Z900 ,"7,57,900",mumbai,,2018,petrol,"22,300"
113,Honda,Honda CBR1000RR Fireblade ,"13,25,000",mumbai,,2017,petrol,"13,500"
114,Yamaha,Yamaha YZF-R1 1000cc ,"18,76,200",mumbai, 1000cc,2015,petrol,"15,500"
115,BMW,BMW S 1000 RR ,"18,28,500",mumbai, 1000 R,2018,petrol,"19,760"
116,Kawasaki,Kawasaki Ninja ZX-10RR ,"15,63,500",mumbai,,2018,petrol,"14,500"
117,Triumph,Triumph Daytona 675 ABS ,"9,48,700",mumbai, 675 ABS,2016,petrol,"32,750"
118,Honda,Honda CBR1000RR Fireblade ,"19,02,700",mumbai,,2017,petrol,"20,000"
119,Harley-Davidson,Harley-Davidson Fat Boy ,"10,86,500",mumbai,,2016,petrol,"4,800"
120,Kawasaki,Kawasaki Z900 ,"7,56,000",mumbai,,2019,petrol,"5,600"
121,Suzuki,Suzuki GSX-R 1000cc ,"10,76,250",mumbai, 1000cc,2015,petrol,"18,900"
122,BMW,BMW F750 GS 850cc ,"13,02,000",mumbai, 850cc,2020,petrol,"15,500"
123,BMW,BMW F750 GS 850cc ,"11,39,250",mumbai, 850cc,2020,petrol,"8,500"
124,Kawasaki,Kawasaki Z800 ,"6,56,250",,,2016,petrol,"12,150"
125,Ducati,Ducati Scrambler Urban Enduro ,"6,03,750",mumbai,,2017,petrol,"20,200"
126,Kawasaki,Kawasaki Ninja 400 ,"4,46,250",mumbai, 400,2019,petrol,"20,000"
127,Triumph,Triumph Street Triple 765 ,"8,66,250",mumbai, 765,2018,petrol,"15,450"
128,Triumph,Triumph Speed Triple 1050cc ,"5,19,750",mumbai, 1050cc,2017,petrol,"2,150"
129,Kawasaki,Kawasaki Z800 ,"6,56,250",mumbai,,2016,petrol,"19,500"
130,Kawasaki,Kawasaki Z800 ,"6,14,250",mumbai,,2015,petrol,"2,000"
131,BMW,BMW G 310 R ,"2,78,250",mumbai, 310 R,2019,petrol,"7,000"
132,Triumph,Triumph Street Triple 765 ,"7,35,000",mumbai, 765,2018,petrol,"23,000"
133,Harley-Davidson,Harley-Davidson 1200 Custom ,"8,85,000",mumbai, 120,2018,petrol,"33,000"
134,Kawasaki,Kawasaki Ninja ZX-6R ,"12,91,500",mumbai,,2019,petrol,"6,100"
135,Yamaha,Yamaha FZ1 1000cc ,"5,51,250",mumbai, 1000cc,2011,petrol,"7,800"
136,Benelli,Benelli TNT 600i ,"5,05,000",mumbai, 600i,2017,petrol,"27,200"
137,Harley-Davidson,Harley-Davidson Forty Eight ,"7,20,800",mumbai,,2016,petrol,"5,400"
138,Suzuki,Suzuki Intruder M1800R ,"11,13,000",bangalore,,2015,petrol,"12,250"
139,Harley-Davidson,Harley-Davidson Fat Boy ,"15,47,600",mumbai,,2018,petrol,"7,150"
140,Kawasaki,Kawasaki Z1000 ,"9,01,000",mumbai,,2016,petrol,"11,800"
141,Honda,Honda CBR 1000RR ,"10,60,000",bangalore, 100,2013,petrol,"16,400"
142,Ducati,Ducati Panigale 959 ,"11,66,000",mumbai, 959,2016,petrol,"27,800"
143,Suzuki,Suzuki V-Strom 650 XT ,"8,48,000",mumbai, 650,2018,petrol,"9,000"
144,Kawasaki,Kawasaki Z900 ,"8,90,400",mumbai,,2017,petrol,"23,000"
145,Honda,Honda CB 1000R ,"5,30,000",mumbai, 100,2010,petrol,"17,000"
146,Suzuki,Suzuki Hayabusa 1300cc ,"11,13,000",mumbai, 1300cc,2014,petrol,"2,300"
147,Triumph,Triumph Bonneville T100 900cc ,"4,92,900",mumbai, 900cc,2015,petrol,"14,850"
148,Suzuki,Suzuki Intruder M1800R ,"7,95,000",mumbai,,2011,petrol,"2,300"
149,Kawasaki,Kawasaki Ninja 650cc ,"4,77,000",, 650cc,2018,petrol,"23,100"
150,BMW,BMW R 1200 GS ,"18,55,000",mumbai, 1200 GS,2018,petrol,"16,700"
151,Ducati,Ducati SuperSport ,"10,60,000",mumbai,,2018,petrol,"14,200"
152,BMW,BMW K 1300 R ,"11,66,000",mumbai, 1300 R,2012,petrol,"8,700"
153,Suzuki,Suzuki Intruder M1800R ,"10,07,000",mumbai,,2013,petrol,"11,100"
154,Kawasaki,Kawasaki Z800 ,"6,09,500",mumbai,,2015,petrol,"33,200"
155,Suzuki,Suzuki GSX-R 1000cc ,"12,19,000",mumbai, 1000cc,2015,petrol,"9,800"
156,Ducati,Ducati Scrambler 1100 ,"8,79,800",mumbai, 110,2020,petrol,"10,450"
157,BMW,BMW S 1000 R ,"11,13,000",mumbai, 1000 R,2015,petrol,"3,801"
158,Kawasaki,Kawasaki Versys 1000 ,"12,19,000",mumbai, 100,2019,petrol,"3,000"
159,Kawasaki,Kawasaki Ninja 400 ,"4,50,500",mumbai, 400,2019,petrol,"12,950"
160,Triumph,Triumph Tiger 800 XRX ,"13,35,600",mumbai, 800,2020,petrol,"16,700"
161,Triumph,Triumph Rocket III Roadster ,"14,31,000",mumbai,,2016,petrol,"4,900"
162,Suzuki,Suzuki Intruder M1800R ,"8,32,100",mumbai,,2013,petrol,"2,850"
163,Suzuki,Suzuki GSX-S750 ,"7,36,700",mumbai,,2018,petrol,"14,785"
164,Honda,Honda CB 1000R ,"13,51,500",mumbai, 100,2018,petrol,"5,200"
165,Triumph,Triumph Street Twin 900cc ,"7,42,000",mumbai, 900cc,2020,petrol,"28,600"
166,Triumph,Triumph Bonneville T100 900cc ,"4,50,500",mumbai, 900cc,2015,petrol,"8,100"
167,Ducati,Ducati Diavel XDiavel ,"11,92,500",mumbai,,2016,petrol,"15,400"
168,Triumph,Triumph Street Triple ABS 675cc ,"6,36,000",mumbai, 675cc,2016,petrol,"8,000"
169,Triumph,Triumph Street Triple RS ,"10,60,000",mumbai,,2019,petrol,"9,250"
170,Triumph,Triumph Tiger 800 XR ,"9,54,000",mumbai, 800,2016,petrol,"26,000"
171,Yamaha,Yamaha YZF R6 600cc ,"10,07,000",mumbai, 600cc,2014,petrol,"1,693"
172,Honda,Honda Gold Wing GL1800 ,"25,44,000",mumbai,,2016,petrol,"4,200"
173,Triumph,Triumph Street Twin 900cc ,"5,56,500",mumbai, 900cc,2016,petrol,"15,000"
174,Honda,Honda CB 1000R ,"5,30,000",, 100,2010,petrol,"23,000"
175,BenelliImperiale,BenelliImperiale 400 BS6 ,"1,76,500",mumbai, 400,2020,petrol,"15,000"
176,Triumph,Triumph Bonneville Bobber 1200cc ,"8,32,000",mumbai, 1200cc,2017,petrol,"10,000"
177,Benelli,Benelli TRK 502X ,"6,76,000",mumbai, 502,2020,petrol,"27,000"
178,Triumph,Triumph Tiger 800 XCX ,"8,29,500",mumbai, 800,2017,petrol,"10,000"
179,Kawasaki,Kawasaki Z650 ,"4,72,500",mumbai,,2017,petrol,"15,000"
