Unnamed: 0,Brand,Model,Price,Location,Engine,Model Year,Fuel Type,Road Trip,Model_Year
167,Ducati,Ducati Diavel XDiavel ,1192500,mumbai,650cc,2016,petrol,15400,2016
168,Triumph,Triumph Street Triple ABS 675cc ,636000,mumbai,675cc,2016,petrol,8000,2016
169,Triumph,Triumph Street Triple RS ,1060000,mumbai,650cc,2019,petrol,9250,2019
170,Triumph,Triumph Tiger 800 XR ,954000,mumbai,800cc,2016,petrol,26000,2016
171,Yamaha,Yamaha YZF R6 600cc ,1007000,mumbai,600cc,2014,petrol,1693,2014
172,Honda,Honda Gold Wing GL1800 ,2544000,mumbai,650cc,2016,petrol,4200,2016
173,Triumph,Triumph Street Twin 900cc ,556500,mumbai,900cc,2016,petrol,15000,2016
174,Honda,Honda CB 1000R ,530000,,100cc,2010,petrol,23000,2010
175,BenelliImperiale,BenelliImperiale 400 BS6 ,176500,mumbai,400cc,2020,petrol,15000,2020
176,Triumph,Triumph Bonneville Bobber 1200cc ,832000,mumbai,1200cc,2017,petrol,10000,2017
177,Benelli,Benelli TRK 502X ,676000,mumbai,502cc,2020,petrol,27000,2020
178,Triumph,Triumph Tiger 800 XCX ,829500,mumbai,800cc,2017,petrol,10000,2017
179,Kawasaki,Kawasaki Z650 ,472500,mumbai,650cc,2017,petrol,15000,2017
180,Harley-Davidson,Harley-Davidson Street 750 ,304500,mumbai,750cc,2016,petrol,12000,2016
181,Harley-Davidson,Harley-Davidson Iron 883 ,551250,mumbai,883cc,2014,petrol,2000,2014
182,Benelli,Benelli 302R 300CC ,315000,hyderabad,302cc,2019,petrol,2500,2019
183,Ducati,Ducati Monster 797 ,761250,mumbai,797cc,2018,petrol,8000,2018
184,BMW,BMW G 310 GS ,315000,mumbai,310cc,2019,petrol,15000,2019
185,BMW,BMW G 310 GS BS6 ,304500,mumbai,310cc,2021,petrol,12000,2021
186,BMW,BMW G 310 GS ,241500,mumbai,310cc,2019,petrol,25000,2019
187,BMW,BMW G 310 GS ,252000,mumbai,310cc,2020,petrol,25000,2020
188,Benelli,Benelli TNT 300 ,220500,mumbai,300cc,2016,petrol,15000,2016
189,Harley-Davidson,Harley-Davidson Street 750 ABS ,546000,mumbai,750cc,2020,petrol,7300,2020
190,Harley-Davidson,Harley-Davidson Iron 883 ,525000,mumbai,883cc,2016,petrol,3000,2016
191,Harley-Davidson,Harley-Davidson Iron 883 ,551250,mumbai,883cc,2015,petrol,5000,2015
192,Harley-Davidson,Harley-Davidson Fat Bob ,1155000,mumbai,650cc,2016,petrol,20000,2016
193,Ducati,Ducati Monster 821 ,787500,mumbai,821cc,2015,petrol,7000,2015
194,Kawasaki,Kawasaki Z650 ,498750,mumbai,650cc,2020,petrol,4600,2020
195,Kawasaki,Kawasaki Z900 ,892500,mumbai,650cc,2018,petrol,11000,2018
196,Kawasaki,Kawasaki Ninja 650cc ,577500,mumbai,650cc,2018,petrol,24000,2018
197,Kawasaki,Kawasaki Ninja 300cc ,288750,mumbai,300cc,2019,petrol,8000,2019
198,Royal,Royal Enfield Interceptor 650cc ,288750,mumbai,650cc,2019,petrol,7300,2019
199,Triumph,Triumph Street Twin 900cc ,735000,,900cc,2019,petrol,5127,2019
200,Triumph,Triumph Bonneville T100 900cc ,472500,mumbai,900cc,2015,petrol,23000,2015
201,Suzuki,Suzuki V-Strom 650 XT ,918750,mumbai,650cc,2020,petrol,4400,2020
202,Triumph,Triumph Street Twin 900cc ,656250,mumbai,900cc,2017,petrol,6000,2017
203,Kawasaki,Kawasaki Z650 ,498750,mumbai,650cc,2020,petrol,24000,2020
204,Royal,Royal Enfield Interceptor 650cc ,270000,mumbai,650cc,2019,petrol,6800,2019
205,Triumph,Triumph Street Triple 675cc ,587000,mumbai,675cc,2015,petrol,2500,2015
206,Kawasaki,Kawasaki Ninja 650cc ,416000,mumbai,650cc,2017,petrol,3500,2017
207,BMW,BMW G 310 R ,260000,mumbai,310cc,2019,petrol,20000,2019
208,Royal,Royal Enfield Interceptor 650cc ,255000,mumbai,650cc,2019,petrol,5500,2019
209,BMW,BMW G 310 R ,239200,mumbai,310cc,2019,petrol,16000,2019
210,Kawasaki,Kawasaki Ninja 300 BS6 ,390000,mumbai,300cc,2021,petrol,10000,2021
211,Royal,Royal Enfield Continental GT 650cc ,312000,mumbai,650cc,2019,petrol,13000,2019
212,Kawasaki,Kawasaki Z900 ,832000,bangalore,650cc,2018,petrol,4800,2018
213,Kawasaki,Kawasaki Z650 ,364000,bangalore,650cc,2018,petrol,2500,2018
214,Harley-Davidson,Harley-Davidson Street 750 ,299250,mumbai,750cc,2015,petrol,13300,2015
215,Benelli,Benelli TNT 300 ,202312,mumbai,300cc,2017,petrol,14500,2017
216,Royal,Royal Enfield Interceptor 650cc ,296400,bangalore,650cc,2020,petrol,4000,2020
217,Royal,Royal Enfield Interceptor 650cc ,260000,mumbai,650cc,2019,petrol,5000,2019
218,BMW,BMW G 310 R ,245000,mumbai,310cc,2019,petrol,15000,2019
219,Regal,Regal Raptor Daytona 350 ,239000,mumbai,350cc,2017,petrol,14000,2017
220,Hyosung,Hyosung Aquila Pro GV650 ,535000,mumbai,650cc,2018,petrol,20000,2018
221,Ducati,Ducati Diavel 1200cc ,835000,mumbai,1200cc,2015,petrol,10000,2015
222,Harley-Davidson,Harley-Davidson Fat Boy ,1065000,mumbai,650cc,2016,petrol,15000,2016
223,Royal,Royal Enfield Interceptor 650cc ,265000,mumbai,650cc,2019,petrol,8930,2019
